account_number,transaction_id,transaction_timestamp,transaction_amount,cr_dr_ind,New Beneficiary Flag,device_id,transaction_type_code
ACC000043,TXN0000014774,01/10/2023 20:42:40,10058.3,C,0,DEV0042,transfer
ACC000015,TXN0000004464,01/10/2023 21:10:46,18791.19,D,0,DEV0003,jzzcsh
ACC000017,TXN0000005269,01/10/2023 21:19:51,7801.99,D,0,DEV0057,transfer
ACC000044,TXN0000015016,01/10/2023 22:00:22,24511.35,D,0,DEV0006,ezpsa
ACC000034,TXN0000011646,01/10/2023 22:34:29,1452.06,D,0,DEV0197,ezpsa
ACC000044,TXN0000015018,01/10/2023 23:24:43,18721.29,C,0,DEV0006,jzzcsh
ACC000018,TXN0000005576,01/10/2023 23:34:39,20643.78,D,0,DEV0110,ezpsa
ACC000015,TXN0000004468,01/10/2023 23:44:32,5547.18,D,0,DEV0199,nypy
ACC000034,TXN0000011644,01/10/2023 23:46:36,1690.57,D,0,DEV0151,ezpsa
ACC000049,TXN0000016797,01/10/2023 23:46:48,3965.69,D,0,DEV0069,other2
ACC000037,TXN0000012679,02/10/2023 01:45:28,45447.08,D,0,DEV0076,other1
ACC000041,TXN0000014082,02/10/2023 02:59:03,28569.33,D,0,DEV0161,other2
ACC000008,TXN0000002225,02/10/2023 04:04:37,59400.75,C,0,DEV0123,transfer
ACC000008,TXN0000002227,02/10/2023 04:08:45,10532.98,C,0,DEV0184,payment
ACC000030,TXN0000010150,02/10/2023 04:19:24,22010.48,D,0,DEV0129,other1
ACC000037,TXN0000012677,02/10/2023 05:35:10,47367.75,C,0,DEV0168,payment
ACC000041,TXN0000014081,02/10/2023 05:57:49,67401.64,C,0,DEV0200,jzzcsh
ACC000017,TXN0000005270,02/10/2023 06:58:52,6682.75,C,0,DEV0083,other1
ACC000046,TXN0000015986,02/10/2023 08:06:32,27974.42,D,0,DEV0188,other3
ACC000026,TXN0000008764,02/10/2023 08:36:53,32969.2,D,0,DEV0057,ezpsa
ACC000015,TXN0000004475,02/10/2023 08:38:13,12449.12,D,0,DEV0030,other1
ACC000015,TXN0000004472,02/10/2023 08:56:49,27580.87,C,0,DEV0003,jzzcsh
ACC000026,TXN0000008765,02/10/2023 08:57:17,23382.9,D,0,DEV0135,transfer
ACC000027,TXN0000009046,02/10/2023 08:59:53,25853.33,D,0,DEV0106,other2
ACC000027,TXN0001009046,02/10/2023 08:59:53,66714.0,D,0,DEV0106,other2
ACC000046,TXN0000015985,02/10/2023 09:00:02,52509.59,C,0,DEV0188,other3
ACC000027,TXN0001009047,02/10/2023 09:01:53,57949.0,D,0,DEV0106,other2
ACC000018,TXN0000005577,02/10/2023 09:02:56,18596.68,D,0,DEV0110,payment
ACC000027,TXN0001009048,02/10/2023 09:03:53,33346.0,D,0,DEV0106,other2
ACC000027,TXN0001009049,02/10/2023 09:05:53,59594.0,D,0,DEV0106,other2
ACC000027,TXN0001009050,02/10/2023 09:07:53,68581.0,D,0,DEV0106,other2
ACC000002,TXN0000000310,02/10/2023 09:11:11,3731.18,C,0,DEV0086,payment
ACC000002,TXN0000000309,02/10/2023 09:18:03,4261.16,C,1,DEV0178,payment
ACC000021,TXN0000006836,02/10/2023 09:22:31,31051.71,D,0,DEV0172,other2
ACC000021,TXN0000006837,02/10/2023 09:25:58,35747.16,C,1,DEV0172,other3
ACC000046,TXN0000015984,02/10/2023 09:26:47,46906.56,D,1,DEV0188,other1
ACC000021,TXN0000006841,02/10/2023 09:44:20,37375.69,D,0,DEV0172,jzzcsh
ACC000049,TXN0000016808,02/10/2023 09:45:02,6128.02,D,0,DEV0150,payment
ACC000006,TXN0000001587,02/10/2023 09:52:38,26977.43,D,0,DEV0150,other2
ACC000021,TXN0000006838,02/10/2023 09:59:43,50017.9,C,0,DEV0172,other3
ACC000047,TXN0000016232,02/10/2023 10:02:00,2868.13,D,0,DEV0154,jzzcsh
ACC000021,TXN0000006842,02/10/2023 10:11:17,49599.94,D,0,DEV0172,other2
ACC000019,TXN0000005948,02/10/2023 10:18:09,1736.37,D,0,DEV0055,nypy
ACC000021,TXN0000006843,02/10/2023 10:22:41,52564.56,C,0,DEV0172,ezpsa
ACC000005,TXN0000001281,02/10/2023 10:25:39,8340.98,C,0,DEV0187,other3
ACC000021,TXN0000006839,02/10/2023 10:25:59,34981.56,D,0,DEV0172,payment
ACC000029,TXN0000009680,02/10/2023 10:27:12,23186.28,D,0,DEV0087,other1
ACC000043,TXN0000014775,02/10/2023 10:32:53,6444.06,D,0,DEV0186,other1
ACC000005,TXN0000001280,02/10/2023 10:33:09,7487.0,C,0,DEV0187,other2
ACC000008,TXN0000002228,02/10/2023 10:33:20,33706.41,C,1,DEV0184,other2
ACC000007,TXN0000001972,02/10/2023 10:36:12,24860.02,D,0,DEV0160,nypy
ACC000047,TXN0000016231,02/10/2023 10:45:13,4448.31,D,0,DEV0154,other3
ACC000021,TXN0000006840,02/10/2023 10:47:07,33432.11,C,0,DEV0172,other3
ACC000029,TXN0000009679,02/10/2023 10:50:04,37409.92,C,0,DEV0125,payment
ACC000048,TXN0000016495,02/10/2023 10:59:36,34208.84,D,0,DEV0019,transfer
ACC000028,TXN0000009300,02/10/2023 11:05:35,16383.11,D,0,DEV0101,other2
ACC000033,TXN0000011296,02/10/2023 11:08:46,52704.61,D,1,DEV0113,transfer
ACC000030,TXN0000010152,02/10/2023 11:12:18,73600.17,C,0,DEV0196,transfer
ACC000048,TXN0000016497,02/10/2023 11:15:49,21219.53,D,0,DEV0019,payment
ACC000033,TXN0000011297,02/10/2023 11:21:24,51084.63,C,0,DEV0113,nypy
ACC000009,TXN0000002653,02/10/2023 11:25:53,32464.52,C,0,DEV0194,nypy
ACC000033,TXN0000011292,02/10/2023 11:28:11,67566.92,C,0,DEV0113,other2
ACC000050,TXN0000017311,02/10/2023 11:41:39,14094.39,D,0,DEV0090,other1
ACC000033,TXN0000011294,02/10/2023 11:46:55,62788.21,C,0,DEV0113,other1
ACC000032,TXN0000010976,02/10/2023 11:47:27,13235.18,D,0,DEV0154,other1
ACC000030,TXN0000010151,02/10/2023 11:55:30,35406.9,C,0,DEV0129,transfer
ACC000040,TXN0000013685,02/10/2023 12:06:33,13244.82,D,0,DEV0059,ezpsa
ACC000026,TXN0000008763,02/10/2023 12:08:07,20233.39,D,0,DEV0025,payment
ACC000013,TXN0000003867,02/10/2023 12:16:42,39541.31,C,0,DEV0104,ezpsa
ACC000036,TXN0000012414,02/10/2023 12:19:15,10641.92,D,0,DEV0131,nypy
ACC000029,TXN0000009676,02/10/2023 12:19:28,33268.83,D,0,DEV0125,payment
ACC000014,TXN0000004129,02/10/2023 12:28:45,14793.6,C,0,DEV0138,transfer
ACC000003,TXN0000000568,02/10/2023 12:30:04,21828.26,D,0,DEV0113,transfer
ACC000040,TXN0000013688,02/10/2023 12:32:01,19965.09,D,0,DEV0059,nypy
ACC000029,TXN0000009677,02/10/2023 12:43:38,23240.02,D,0,DEV0125,nypy
ACC000033,TXN0000011295,02/10/2023 12:46:19,77287.77,C,0,DEV0113,ezpsa
ACC000003,TXN0000000567,02/10/2023 12:54:23,38195.46,C,0,DEV0113,other3
ACC000037,TXN0000012675,02/10/2023 12:57:17,65364.4,D,0,DEV0076,other3
ACC000029,TXN0000009678,02/10/2023 13:00:22,28497.5,D,0,DEV0087,jzzcsh
ACC000035,TXN0000012011,02/10/2023 13:09:00,1559.33,D,0,DEV0005,nypy
ACC000022,TXN0000007346,02/10/2023 13:18:13,4494.47,D,1,DEV0112,ezpsa
ACC000035,TXN0000012012,02/10/2023 13:20:37,1713.75,D,0,DEV0075,other1
ACC000009,TXN0000002654,02/10/2023 13:24:25,28705.87,D,0,DEV0194,other1
ACC000004,TXN0000000859,02/10/2023 13:45:22,12727.33,D,0,DEV0054,ezpsa
ACC000035,TXN0000012013,02/10/2023 13:48:01,1538.61,D,1,DEV0005,other2
ACC000010,TXN0000002874,02/10/2023 13:57:59,65916.31,C,0,DEV0003,ezpsa
ACC000023,TXN0000007696,02/10/2023 14:01:06,26393.04,D,0,DEV0005,transfer
ACC000044,TXN0000015023,02/10/2023 14:06:01,11257.59,D,0,DEV0006,payment
ACC000027,TXN0000009048,02/10/2023 14:09:25,23768.93,D,0,DEV0106,transfer
ACC000037,TXN0000012678,02/10/2023 14:12:16,49272.15,D,0,DEV0076,payment
ACC000048,TXN0000016496,02/10/2023 14:14:35,37935.69,D,0,DEV0019,other1
ACC000049,TXN0000016805,02/10/2023 14:20:22,4415.18,D,1,DEV0069,jzzcsh
ACC000044,TXN0000015026,02/10/2023 14:23:49,31146.7,C,1,DEV0006,transfer
ACC000029,TXN0000009681,02/10/2023 14:24:00,8259.46,D,0,DEV0087,jzzcsh
ACC000020,TXN0000006421,02/10/2023 14:26:46,17589.97,D,0,DEV0082,other1
ACC000027,TXN0000009045,02/10/2023 14:34:55,18483.56,D,0,DEV0068,other2
ACC000022,TXN0000007344,02/10/2023 14:39:52,4498.82,C,0,DEV0112,nypy
ACC000048,TXN0000016494,02/10/2023 14:40:50,22335.29,D,1,DEV0019,nypy
ACC000037,TXN0000012676,02/10/2023 14:41:26,29104.59,D,0,DEV0076,nypy
ACC000022,TXN0000007345,02/10/2023 14:46:12,2833.05,D,0,DEV0182,other2
ACC000037,TXN0000012680,02/10/2023 14:49:24,68653.35,C,0,DEV0076,jzzcsh
ACC000032,TXN0000010974,02/10/2023 15:05:13,7008.62,D,0,DEV0154,nypy
ACC000028,TXN0000009299,02/10/2023 15:11:09,14081.13,C,0,DEV0101,nypy
ACC000032,TXN0000010977,02/10/2023 15:19:17,9154.92,C,0,DEV0154,other2
ACC000023,TXN0000007693,02/10/2023 15:21:28,28422.54,D,0,DEV0005,payment
ACC000028,TXN0000009297,02/10/2023 15:40:38,13989.38,D,0,DEV0101,nypy
ACC000033,TXN0000011293,02/10/2023 15:42:14,75564.32,C,0,DEV0113,payment
ACC000044,TXN0000015025,02/10/2023 15:47:43,18096.17,D,0,DEV0006,other2
ACC000004,TXN0000000860,02/10/2023 16:13:22,72368.56,D,0,DEV0054,transfer
ACC000050,TXN0000017310,02/10/2023 16:17:47,26085.93,D,0,DEV0090,nypy
ACC000034,TXN0000011649,02/10/2023 16:18:14,2817.86,D,0,DEV0033,other1
ACC000035,TXN0000012015,02/10/2023 16:27:14,1260.22,D,0,DEV0186,transfer
ACC000044,TXN0000015027,02/10/2023 16:28:23,31331.47,D,0,DEV0006,other1
ACC000004,TXN0000000858,02/10/2023 16:32:50,44148.0,C,0,DEV0054,other2
ACC000035,TXN0000012014,02/10/2023 16:34:30,783.27,D,0,DEV0186,other3
ACC000035,TXN0000012010,02/10/2023 16:45:13,1898.43,D,0,DEV0186,nypy
ACC000049,TXN0000016806,02/10/2023 16:55:31,5786.52,C,0,DEV0069,transfer
ACC000040,TXN0000013686,02/10/2023 16:56:34,32037.29,C,1,DEV0059,transfer
ACC000019,TXN0000005950,02/10/2023 16:58:58,5481.96,D,0,DEV0055,other1
ACC000034,TXN0000011648,02/10/2023 17:00:36,3187.27,C,0,DEV0151,transfer
ACC000006,TXN0000001586,02/10/2023 17:03:07,29516.19,D,0,DEV0103,transfer
ACC000048,TXN0000016493,02/10/2023 17:24:30,30752.49,D,0,DEV0019,nypy
ACC000014,TXN0000004127,02/10/2023 17:34:29,14706.68,D,0,DEV0138,other3
ACC000015,TXN0000004476,02/10/2023 17:43:59,21135.62,D,0,DEV0003,transfer
ACC000008,TXN0000002229,02/10/2023 17:44:26,11870.19,D,0,DEV0184,transfer
ACC000008,TXN0000002231,02/10/2023 17:49:26,33896.74,D,0,DEV0184,nypy
ACC000008,TXN0000002226,02/10/2023 18:06:14,27757.09,D,0,DEV0184,other2
ACC000003,TXN0000000569,02/10/2023 18:06:30,33641.2,C,1,DEV0113,other3
ACC000008,TXN0000002230,02/10/2023 18:11:30,20043.72,D,0,DEV0123,payment
ACC000003,TXN0000000566,02/10/2023 18:11:42,16763.91,D,0,DEV0113,nypy
ACC000049,TXN0000016803,02/10/2023 18:11:46,3866.46,D,0,DEV0069,nypy
ACC000034,TXN0000011650,02/10/2023 18:13:27,2286.85,D,0,DEV0151,transfer
ACC000019,TXN0000005949,02/10/2023 18:25:03,2004.92,D,0,DEV0148,nypy
ACC000045,TXN0000015498,02/10/2023 18:31:40,29947.62,C,0,DEV0139,other2
ACC000037,TXN0000012674,02/10/2023 18:35:40,107520.27,C,1,DEV0076,other1
ACC000050,TXN0000017309,02/10/2023 18:43:24,25885.61,C,0,DEV0090,transfer
ACC000002,TXN0000000308,02/10/2023 18:43:30,7147.65,D,0,DEV0178,nypy
ACC000001,TXN0000000006,02/10/2023 18:44:06,15557.91,D,0,DEV0177,ezpsa
ACC000049,TXN0000016804,02/10/2023 19:11:25,2832.98,D,0,DEV0069,transfer
ACC000015,TXN0000004471,02/10/2023 19:17:33,24698.35,D,0,DEV0114,transfer
ACC000022,TXN0000007343,02/10/2023 19:21:43,3513.23,D,0,DEV0112,payment
ACC000031,TXN0000010483,02/10/2023 19:27:57,46334.12,D,1,DEV0135,other2
ACC000049,TXN0000016807,02/10/2023 19:32:45,5939.26,D,0,DEV0069,other3
ACC000044,TXN0000015024,02/10/2023 19:34:48,31103.13,D,0,DEV0006,other3
ACC000010,TXN0000002873,02/10/2023 19:34:56,54489.2,D,0,DEV0011,transfer
ACC000030,TXN0000010153,02/10/2023 19:36:30,21095.41,D,0,DEV0129,ezpsa
ACC000017,TXN0000005271,02/10/2023 19:38:44,8518.95,C,0,DEV0083,other1
ACC000023,TXN0000007695,02/10/2023 19:38:47,37524.69,C,0,DEV0005,other2
ACC000010,TXN0000002875,02/10/2023 19:39:12,44190.44,D,0,DEV0003,other2
ACC000023,TXN0000007694,02/10/2023 19:40:50,17054.2,D,0,DEV0005,jzzcsh
ACC000015,TXN0000004470,02/10/2023 19:43:42,14481.97,D,0,DEV0003,ezpsa
ACC000026,TXN0000008762,02/10/2023 19:45:36,10446.76,C,0,DEV0057,other2
ACC000015,TXN0000004473,02/10/2023 19:45:44,17285.17,D,0,DEV0003,other3
ACC000009,TXN0000002655,02/10/2023 19:58:08,11612.6,D,0,DEV0194,nypy
ACC000027,TXN0000009047,02/10/2023 20:34:14,25340.91,D,0,DEV0068,other1
ACC000015,TXN0000004474,02/10/2023 20:52:38,17488.54,D,0,DEV0199,other1
ACC000014,TXN0000004128,02/10/2023 20:58:56,18772.28,C,0,DEV0138,other1
ACC000024,TXN0000008100,02/10/2023 22:14:46,4235.42,D,0,DEV0078,other1
ACC000004,TXN0000000861,02/10/2023 22:19:28,70170.07,C,1,DEV0054,other3
ACC000046,TXN0000015987,02/10/2023 22:22:17,25963.76,D,0,DEV0188,ezpsa
ACC000032,TXN0000010975,02/10/2023 22:23:29,10549.45,C,0,DEV0154,other1
ACC000040,TXN0000013687,02/10/2023 22:46:42,11445.92,D,0,DEV0059,nypy
ACC000028,TXN0000009298,02/10/2023 22:47:18,5849.48,D,0,DEV0101,jzzcsh
ACC000019,TXN0000005955,03/10/2023 01:37:53,5280.08,D,0,DEV0055,other1
ACC000008,TXN0000002236,03/10/2023 02:23:51,42304.79,D,0,DEV0184,other2
ACC000007,TXN0000001976,03/10/2023 02:24:00,50004.82,D,0,DEV0078,payment
ACC000006,TXN0000001588,03/10/2023 02:33:40,34185.7,D,0,DEV0150,ezpsa
ACC000022,TXN0000007350,03/10/2023 03:31:51,4988.41,D,0,DEV0112,nypy
ACC000029,TXN0000009682,03/10/2023 04:44:11,30975.3,D,0,DEV0087,other2
ACC000034,TXN0000011652,03/10/2023 05:12:51,2976.16,C,0,DEV0151,other3
ACC000008,TXN0000002233,03/10/2023 06:37:49,45792.85,C,0,DEV0123,nypy
ACC000032,TXN0000010979,03/10/2023 07:00:12,6212.65,D,0,DEV0154,nypy
ACC000001,TXN0000000008,03/10/2023 07:11:02,16061.76,D,0,DEV0074,payment
